,logline,Action,ID
805,setTodayTotalDetailSteps=1514038680000##7167##548945##8661##16256##27443986,Step_SPUtils,30002312
1367,onStandStepChanged 3768,Step_LSC,30002312
885,calculateAltitudeWithCache totalAltitude=240,Step_ExtSDM,30002312
471,setTodayTotalDetailSteps=1514038560000##7092##548573##8661##16256##27313974,Step_SPUtils,30002312
530,REPORT : 7104 5072 152167 240,Step_StandReportReceiver,30002312
385,onStandStepChanged 3643,Step_LSC,30002312
1327, getTodayTotalDetailSteps = 1514041620000##7189##549659##8661##16256##30343722,Step_SPUtils,30002312
1405,setTodayTotalDetailSteps=1514041980000##7208##549659##8661##16256##30731232,Step_SPUtils,30002312
77,setTodayTotalDetailSteps=1514038440000##7017##548365##8661##13216##27179417,Step_SPUtils,30002312
1686,onStandStepChanged 3786,Step_LSC,30002312
1351,calculateAltitudeWithCache totalAltitude=240,Step_ExtSDM,30002312
1252,onExtend:1514041206000 0 0 5,Step_LSC,30002312
458,calculateCaloriesWithCache totalCalories=128510,Step_ExtSDM,30002312
1361,onExtend:1514042083000 1 0 4,Step_LSC,30002312
160,REPORT : 7028 5017 150539 240,Step_StandReportReceiver,30002312
203,onStandStepChanged 3607,Step_LSC,30002312
901,onExtend:1514038816000 0 0 5,Step_LSC,30002312
1569,calculateAltitudeWithCache totalAltitude=240,Step_ExtSDM,30002312
1438,onStandStepChanged 3786,Step_LSC,30002312
1701,setTodayTotalDetailSteps=1514044380000##7214##549659##8661##16256##33129767,Step_SPUtils,30002312
1668,onExtend:1514044437000 0 0 0,Step_LSC,30002312
103,calculateAltitudeWithCache totalAltitude=240,Step_ExtSDM,30002312
1281,calculateAltitudeWithCache totalAltitude=240,Step_ExtSDM,30002312
1291, getTodayTotalDetailSteps = 1514041560000##7189##549659##8661##16256##30314585,Step_SPUtils,30002312
1673,processHandleBroadcastAction action:android.intent.action.TIME_TICK,Step_LSC,30002312
92,onExtend:1514038536000 1 0 4,Step_LSC,30002312
1738, getTodayTotalDetailSteps = 1514044440000##7214##549659##8661##16256##33169760,Step_SPUtils,30002312
333,calculateCaloriesWithCache totalCalories=127824,Step_ExtSDM,30002312
465,calculateCaloriesWithCache totalCalories=128553,Step_ExtSDM,30002312
1334,onExtend:1514042064000 0 0 5,Step_LSC,30002312
505, getTodayTotalDetailSteps = 1514038560000##7099##548577##8661##16256##27315983,Step_SPUtils,30002312
817,onStandStepChanged 3745,Step_LSC,30002312
1919,calculateCaloriesWithCache totalCalories=0,Step_ExtSDM,30002312
1564,onStandStepChanged 3786,Step_LSC,30002312
887,onStandStepChanged 3761,Step_LSC,30002312
742,getBinderPackageName packageName = com.huawei.health,HiH_HiAppUtil,30002312
283,setTodayTotalDetailSteps=1514038440000##7048##548365##8661##15971##27198970,Step_SPUtils,30002312
5,setTodayTotalDetailSteps=1514038440000##7007##548365##8661##12361##27173954,Step_SPUtils,30002312
1902,onStandStepChanged 3786,Step_LSC,30002312
734,getBinderPackageName packageName = com.huawei.health,HiH_HiAppUtil,30002312
680,onExtend:1514038756000 6 0 4,Step_LSC,30002312
136,setTodayTotalDetailSteps=1514038440000##7025##548365##8661##13976##27183974,Step_SPUtils,30002312
148,onExtend:1514038541000 1 0 4,Step_LSC,30002312
1455,calculateAltitudeWithCache totalAltitude=240,Step_ExtSDM,30002312
1587,processHandleBroadcastAction action:android.intent.action.TIME_TICK,Step_LSC,30002312
702,"upLoadOneMinuteDataToEngine time=25233975,0,93,0,20002",Step_FlushableStepDataCache,30002312
1971,"startSync hiSyncOption = HiSyncOption{syncAction=1, syncMethod=2, syncScope=0, syncDataType=20000, syncModel=2, pushAction=0},app = 1 who = 1",HiH_HiSyncControl,30002312
593,calculateAltitudeWithCache totalAltitude=240,Step_ExtSDM,30002312
280,onStandStepChanged 3620,Step_LSC,30002312
1789, getTodayTotalDetailSteps = 1514044560000##7214##549659##8661##16256##33306763,Step_SPUtils,30002312
681,onStandStepChanged 3732,Step_LSC,30002312
1605,onExtend:1514044249000 0 0 0,Step_LSC,30002312
1910, getTodayTotalDetailSteps = 1514045340000##0##549659##8661##16256##34086757,Step_SPUtils,30002312
1276,onStandStepChanged 3761,Step_LSC,30002312
604, getTodayTotalDetailSteps = 1514038680000##7117##548865##8661##16256##27392475,Step_SPUtils,30002312
1192,onExtend:1514040793000 0 0 5,Step_LSC,30002312
696,calculateCaloriesWithCache totalCalories=130052,Step_ExtSDM,30002312
192,setTodayTotalDetailSteps=1514038440000##7033##548365##8661##14736##27189469,Step_SPUtils,30002312
520,setTodayTotalDetailSteps=1514038560000##7103##548580##8661##16256##27318472,Step_SPUtils,30002312
233, getTodayTotalDetailSteps = 1514038440000##7038##548365##8661##15211##27192478,Step_SPUtils,30002312
1116, getTodayTotalDetailSteps = 1514040600000##7189##549659##8661##16256##29341612,Step_SPUtils,30002312
900,onStandStepChanged 3761,Step_LSC,30002312
1386,calculateAltitudeWithCache totalAltitude=240,Step_ExtSDM,30002312
1637,onStandStepChanged 3786,Step_LSC,30002312
1860,setTodayTotalDetailSteps=1514045160000##0##549659##8661##16256##33885759,Step_SPUtils,30002312
1888,calculateAltitudeWithCache totalAltitude=0,Step_ExtSDM,30002312
298,calculateCaloriesWithCache totalCalories=127739,Step_ExtSDM,30002312
403,calculateCaloriesWithCache totalCalories=128210,Step_ExtSDM,30002312
1755,onExtend:1514044595000 0 0 0,Step_LSC,30002312
1672,calculateAltitudeWithCache totalAltitude=240,Step_ExtSDM,30002312
838,onStandStepChanged 3751,Step_LSC,30002312
284,calculateCaloriesWithCache totalCalories=127653,Step_ExtSDM,30002312
355,calculateAltitudeWithCache totalAltitude=240,Step_ExtSDM,30002312
205, getTodayTotalDetailSteps = 1514038440000##7034##548365##8661##14831##27189969,Step_SPUtils,30002312
61,onStandStepChanged 3588,Step_LSC,30002312
1807,calculateAltitudeWithCache totalAltitude=0,Step_ExtSDM,30002312
361,calculateCaloriesWithCache totalCalories=127996,Step_ExtSDM,30002312
316,onStandStepChanged 3626,Step_LSC,30002312
146,REPORT : 7026 5016 150496 240,Step_StandReportReceiver,30002312
1837,calculateAltitudeWithCache totalAltitude=0,Step_ExtSDM,30002312
1614, getTodayTotalDetailSteps = 1514044140000##7214##549659##8661##16256##32893026,Step_SPUtils,30002312
219, getTodayTotalDetailSteps = 1514038440000##7036##548365##8661##15021##27190970,Step_SPUtils,30002312
733,getBinderPackageName packageName = com.huawei.health,HiH_HiAppUtil,30002312
1290,REPORT : 7189 5132 153988 240,Step_StandReportReceiver,30002312
839,onExtend:1514038802000 3 0 4,Step_LSC,30002312
26,onStandStepChanged 3583,Step_LSC,30002312
221,calculateCaloriesWithCache totalCalories=127418,Step_ExtSDM,30002312
1011,initUserPrivacy the userPrivacy is true,HiH_,30002312
383,calculateAltitudeWithCache totalAltitude=240,Step_ExtSDM,30002312
430,calculateCaloriesWithCache totalCalories=128360,Step_ExtSDM,30002312
198, getTodayTotalDetailSteps = 1514038440000##7033##548365##8661##14736##27189469,Step_SPUtils,30002312
1135,onExtend:1514040766000 0 0 5,Step_LSC,30002312
208,calculateAltitudeWithCache totalAltitude=240,Step_ExtSDM,30002312
1156,calculateAltitudeWithCache totalAltitude=240,Step_ExtSDM,30002312
1395,onStandStepChanged 3777,Step_LSC,30002312
1221,onReceive action: android.intent.action.SCREEN_ON,Step_StandReportReceiver,30002312
317,onExtend:1514038561000 0 0 0,Step_LSC,30002312
1399,calculateCaloriesWithCache totalCalories=131015,Step_ExtSDM,30002312
1536,stepSyncOrNot appSynTimes is 0,HiH_HiSyncControl,30002312
156, getTodayTotalDetailSteps = 1514038440000##7027##548365##8661##14166##27185467,Step_SPUtils,30002312
1489,calculateCaloriesWithCache totalCalories=131208,Step_ExtSDM,30002312
362,calculateAltitudeWithCache totalAltitude=240,Step_ExtSDM,30002312
22,setTodayTotalDetailSteps=1514038440000##7009##548365##8661##12551##27174951,Step_SPUtils,30002312
121, getTodayTotalDetailSteps = 1514038440000##7022##548365##8661##13691##27182468,Step_SPUtils,30002312
97,REPORT : 7019 5011 150346 240,Step_StandReportReceiver,30002312
1978,initUserPrivacy the userPrivacy is true,HiH_,30002312
419,onStandStepChanged 3651,Step_LSC,30002312
1078,onStandStepChanged 3761,Step_LSC,30002312
1731, getTodayTotalDetailSteps = 1514044440000##7214##549659##8661##16256##33168762,Step_SPUtils,30002312
337,onExtend:1514038641000 2 0 4,Step_LSC,30002312
343,onStandStepChanged 3632,Step_LSC,30002312
382,calculateCaloriesWithCache totalCalories=128124,Step_ExtSDM,30002312
381,setTodayTotalDetailSteps=1514038560000##7070##548560##8661##16256##27288471,Step_SPUtils,30002312
512, getTodayTotalDetailSteps = 1514038560000##7101##548578##8661##16256##27316470,Step_SPUtils,30002312
118,REPORT : 7022 5013 150411 240,Step_StandReportReceiver,30002312
1282,getTodaySportData mStepsRecordManager=com.huawei.health.g.c@8a2a501,Step_LSC,30002312
721,"saveStatData() type =40005,time = 1513958400000,statClient = 2,who is 1",HiH_HiHealthDataInsertStore,30002312
1127,onExtend:1514040708000 0 0 5,Step_LSC,30002312
585,calculateCaloriesWithCache totalCalories=129067,Step_ExtSDM,30002312
1099,setTodayTotalDetailSteps=1514040600000##7189##549659##8661##16256##29307585,Step_SPUtils,30002312
1915,onStandStepChanged 3786,Step_LSC,30002312
565,calculateAltitudeWithCache totalAltitude=240,Step_ExtSDM,30002312
974,calculateCaloriesWithCache totalCalories=130673,Step_ExtSDM,30002312
1265,setTodayTotalDetailSteps=1514041560000##7189##549659##8661##16256##30270445,Step_SPUtils,30002312
661,setTodayTotalDetailSteps=1514038680000##7140##548910##8661##16256##27396969,Step_SPUtils,30002312
632, getTodayTotalDetailSteps = 1514038680000##7128##548885##8661##16256##27394469,Step_SPUtils,30002312
970,onStandStepChanged 3761,Step_LSC,30002312
111,REPORT : 7021 5012 150389 240,Step_StandReportReceiver,30002312
1843,calculateCaloriesWithCache totalCalories=0,Step_ExtSDM,30002312
1651, getTodayTotalDetailSteps = 1514044320000##7214##549659##8661##16256##33055760,Step_SPUtils,30002312
490,onExtend:1514038671000 2 0 4,Step_LSC,30002312
320,calculateCaloriesWithCache totalCalories=127782,Step_ExtSDM,30002312
809,onStandStepChanged 3742,Step_LSC,30002312
1590, getTodayTotalDetailSteps = 1514043660000##7214##549659##8661##16256##32403526,Step_SPUtils,30002312
902, getTodayTotalDetailSteps = 1514038740000##7189##549608##8661##16256##27457484,Step_SPUtils,30002312
1119,calculateAltitudeWithCache totalAltitude=240,Step_ExtSDM,30002312
587,REPORT : 7114 5079 152381 240,Step_StandReportReceiver,30002312
816,REPORT : 7170 5119 153581 240,Step_StandReportReceiver,30002312
997,onExtend:1514039520000 0 0 0,Step_LSC,30002312
569, getTodayTotalDetailSteps = 1514038620000##7111##548640##8661##16256##27324478,Step_SPUtils,30002312
500,calculateCaloriesWithCache totalCalories=128745,Step_ExtSDM,30002312
1529,calculateCaloriesWithCache totalCalories=131208,Step_ExtSDM,30002312
63,onReceive action: android.intent.action.SCREEN_OFF,Step_StandReportReceiver,30002312
143,setTodayTotalDetailSteps=1514038440000##7026##548365##8661##14071##27184972,Step_SPUtils,30002312
43,setTodayTotalDetailSteps=1514038440000##7013##548365##8661##12836##27176966,Step_SPUtils,30002312
242,calculateCaloriesWithCache totalCalories=127482,Step_ExtSDM,30002312
1656,onExtend:1514044422000 0 0 0,Step_LSC,30002312
216,REPORT : 7036 5023 150711 240,Step_StandReportReceiver,30002312
1785,tryToRecordAsBasicStepData bWrite true,Step_StandStepDataManager,30002312
169,onExtend:1514038543000 1 0 4,Step_LSC,30002312
149, getTodayTotalDetailSteps = 1514038440000##7026##548365##8661##14071##27184972,Step_SPUtils,30002312
1965,setTodayTotalDetailSteps=1514046420000##0##549659##8661##16256##35149773,Step_SPUtils,30002312
1167,onReceive action: android.intent.action.SCREEN_ON,Step_StandReportReceiver,30002312
1251,onExtend:1514041146000 0 0 5,Step_LSC,30002312
949,processHandleBroadcastAction action:android.intent.action.TIME_TICK,Step_LSC,30002312
291,calculateCaloriesWithCache totalCalories=127696,Step_ExtSDM,30002312
658,onStandStepChanged 3712,Step_LSC,30002312
581,onStandStepChanged 3686,Step_LSC,30002312
743,"startSync hiSyncOption = HiSyncOption{syncAction=2, syncMethod=2, syncScope=0, syncDataType=20000, syncModel=2, pushAction=0},app = 1 who = 1",HiH_HiSyncControl,30002312
905,calculateAltitudeWithCache totalAltitude=240,Step_ExtSDM,30002312
1832,onStandStepChanged 3786,Step_LSC,30002312
1540,"initUserPrivacy the userPrivacy switch is open, start push user data!",HiH_HiSyncControl,30002312
1181,setTodayTotalDetailSteps=1514040720000##7189##549659##8661##16256##29425847,Step_SPUtils,30002312
66, getTodayTotalDetailSteps = 1514038440000##7015##548365##8661##13026##27177962,Step_SPUtils,30002312
1927,processHandleBroadcastAction action:android.intent.action.TIME_TICK,Step_LSC,30002312
1556,onExtend:1514043436000 0 0 0,Step_LSC,30002312
764,"new date =20171223, type=40024,79200.0,old=79200.0",HiH_DataStatManager,30002312
1173,calculateCaloriesWithCache totalCalories=130673,Step_ExtSDM,30002312
2,processHandleBroadcastAction action:android.intent.action.SCREEN_ON,Step_LSC,30002312
1148,setTodayTotalDetailSteps=1514040660000##7189##549659##8661##16256##29410120,Step_SPUtils,30002312
1991,processHandleBroadcastAction action:android.intent.action.TIME_TICK,Step_LSC,30002312
1680,onStandStepChanged 3786,Step_LSC,30002312
1060,onStandStepChanged 3761,Step_LSC,30002312
145,calculateAltitudeWithCache totalAltitude=240,Step_ExtSDM,30002312
64,onStandStepChanged 3589,Step_LSC,30002312
1347,onExtend:1514042082000 2 0 0,Step_LSC,30002312
1610,processHandleBroadcastAction action:android.intent.action.TIME_TICK,Step_LSC,30002312
1269,onStandStepChanged 3761,Step_LSC,30002312
1391,setTodayTotalDetailSteps=1514041980000##7202##549659##8661##16256##30730227,Step_SPUtils,30002312
204,onExtend:1514038546000 1 0 4,Step_LSC,30002312
1336, getTodayTotalDetailSteps = 1514041980000##7189##549659##8661##16256##30708710,Step_SPUtils,30002312
1976,initDataPrivacy the dataPrivacy is true,HiH_,30002312
1881,calculateCaloriesWithCache totalCalories=0,Step_ExtSDM,30002312
1493, getTodayTotalDetailSteps = 1514042280000##7214##549659##8661##16256##31004759,Step_SPUtils,30002312
1059,setTodayTotalDetailSteps=1514039880000##7189##549659##8661##16256##28609620,Step_SPUtils,30002312
1737,onExtend:1514044572000 0 0 5,Step_LSC,30002312
37,calculateCaloriesWithCache totalCalories=126882,Step_ExtSDM,30002312
222,calculateAltitudeWithCache totalAltitude=240,Step_ExtSDM,30002312
934,setTodayTotalDetailSteps=1514038980000##7189##549659##8661##16256##27736503,Step_SPUtils,30002312
544,REPORT : 7106 5073 152210 240,Step_StandReportReceiver,30002312
312,setTodayTotalDetailSteps=1514038500000##7054##548458##8661##16256##27204469,Step_SPUtils,30002312
1223,flush sensor data,Step_StandStepCounter,30002312
133,onStandStepChanged 3597,Step_LSC,30002312
1381,onStandStepChanged 3772,Step_LSC,30002312
1869,calculateCaloriesWithCache totalCalories=0,Step_ExtSDM,30002312
1924,setTodayTotalDetailSteps=1514045400000##0##549659##8661##16256##34161762,Step_SPUtils,30002312
481,REPORT : 7094 5065 151953 240,Step_StandReportReceiver,30002312
261, getTodayTotalDetailSteps = 1514038440000##7042##548365##8661##15591##27195470,Step_SPUtils,30002312
98,onStandStepChanged 3592,Step_LSC,30002312
1598,calculateCaloriesWithCache totalCalories=131208,Step_ExtSDM,30002312
1230,onStandStepChanged 3761,Step_LSC,30002312
426,onStandStepChanged 3653,Step_LSC,30002312
1722,processHandleBroadcastAction action:android.intent.action.TIME_TICK,Step_LSC,30002312
1601,processHandleBroadcastAction action:android.intent.action.TIME_TICK,Step_LSC,30002312
351,onExtend:1514038642000 2 0 4,Step_LSC,30002312
909,onStandStepChanged 3761,Step_LSC,30002312
1790, getTodayBasicStandardSteps= 1514044800223##3786##0,Step_SPUtils,30002312
1574,calculateCaloriesWithCache totalCalories=131208,Step_ExtSDM,30002312
586,calculateAltitudeWithCache totalAltitude=240,Step_ExtSDM,30002312
1968,onReceive action: android.intent.action.SCREEN_OFF,Step_StandReportReceiver,30002312
1602,processHandleBroadcastAction action:android.intent.action.TIME_TICK,Step_LSC,30002312
262,setTodayTotalDetailSteps=1514038440000##7044##548365##8661##15686##27196480,Step_SPUtils,30002312
776, getTodayTotalDetailSteps = 1514038680000##7160##548930##8661##16256##27442416,Step_SPUtils,30002312
347,calculateCaloriesWithCache totalCalories=127910,Step_ExtSDM,30002312
874,onExtend:1514038806000 1 0 4,Step_LSC,30002312
1287,calculateAltitudeWithCache totalAltitude=240,Step_ExtSDM,30002312
1659,calculateCaloriesWithCache totalCalories=131208,Step_ExtSDM,30002312
635,calculateAltitudeWithCache totalAltitude=240,Step_ExtSDM,30002312
1500,onStandStepChanged 3786,Step_LSC,30002312
124,calculateAltitudeWithCache totalAltitude=240,Step_ExtSDM,30002312
1325,processHandleBroadcastAction action:android.intent.action.SCREEN_ON,Step_LSC,30002312
1302,calculateAltitudeWithCache totalAltitude=240,Step_ExtSDM,30002312
774,setWriteDBLastDataMinute success,Step_SPUtils,30002312
693,onExtend:1514038798000 0 0 4,Step_LSC,30002312
892,calculateAltitudeWithCache totalAltitude=240,Step_ExtSDM,30002312
808,REPORT : 7167 5117 153517 240,Step_StandReportReceiver,30002312
1742,onStandStepChanged 3786,Step_LSC,30002312
1038,calculateAltitudeWithCache totalAltitude=240,Step_ExtSDM,30002312
946,setTodayTotalDetailSteps=1514038980000##7189##549659##8661##16256##27743510,Step_SPUtils,30002312
294,onStandStepChanged 3624,Step_LSC,30002312
542,calculateCaloriesWithCache totalCalories=128895,Step_ExtSDM,30002312
1443,calculateAltitudeWithCache totalAltitude=240,Step_ExtSDM,30002312
657,REPORT : 7139 5097 152917 240,Step_StandReportReceiver,30002312
948,calculateAltitudeWithCache totalAltitude=240,Step_ExtSDM,30002312
1678,calculateCaloriesWithCache totalCalories=131208,Step_ExtSDM,30002312
1577,processHandleBroadcastAction action:android.intent.action.TIME_TICK,Step_LSC,30002312
1580, getTodayTotalDetailSteps = 1514043540000##7214##549659##8661##16256##32258759,Step_SPUtils,30002312
502,REPORT : 7099 5068 152060 240,Step_StandReportReceiver,30002312
1592,calculateCaloriesWithCache totalCalories=131208,Step_ExtSDM,30002312
470, getTodayTotalDetailSteps = 1514038560000##7090##548572##8661##16256##27313468,Step_SPUtils,30002312
878,calculateAltitudeWithCache totalAltitude=240,Step_ExtSDM,30002312
247, getTodayTotalDetailSteps = 1514038440000##7040##548365##8661##15401##27193971,Step_SPUtils,30002312
186,calculateCaloriesWithCache totalCalories=127311,Step_ExtSDM,30002312
1459,"timeStamp back,extendReportTimeStamp=1514042265000",Step_LSC,30002312
1891,onExtend:1514045409000 0 0 5,Step_LSC,30002312
295,onExtend:1514038556000 2 0 4,Step_LSC,30002312
1190,onReceive action: android.intent.action.SCREEN_OFF,Step_StandReportReceiver,30002312
1422,REPORT : 7212 5149 154481 240,Step_StandReportReceiver,30002312
1061,calculateCaloriesWithCache totalCalories=130673,Step_ExtSDM,30002312
1464,processHandleBroadcastAction action:android.intent.action.TIME_TICK,Step_LSC,30002312
670,calculateAltitudeWithCache totalAltitude=240,Step_ExtSDM,30002312
780,checkInsertStatus stepStatSum or calorieStatSum is enough,HiH_HiSyncControl,30002312
1012,ifCanSync not! no cloud version,HiH_HiSyncControl,30002312
1279,setTodayTotalDetailSteps=1514041560000##7189##549659##8661##16256##30271693,Step_SPUtils,30002312
1037,calculateCaloriesWithCache totalCalories=130673,Step_ExtSDM,30002312
1615,setTodayTotalDetailSteps=1514044260000##7214##549659##8661##16256##33021763,Step_SPUtils,30002312
1717,onExtend:1514044496000 0 0 0,Step_LSC,30002312
1058, getTodayTotalDetailSteps = 1514039760000##7189##549659##8661##16256##28479559,Step_SPUtils,30002312
714,"insertHiHealthData() size = 4,app = 1,One Data Type = 40002,packageName = com.huawei.health,writeStatType = 0",HiH_HiHealthBinder,30002312
992,onStandStepChanged 3761,Step_LSC,30002312
272,REPORT : 7045 5030 150903 240,Step_StandReportReceiver,30002312
167,REPORT : 7029 5018 150561 240,Step_StandReportReceiver,30002312
944,onExtend:1514039098000 0 0 5,Step_LSC,30002312
1583,calculateAltitudeWithCache totalAltitude=240,Step_ExtSDM,30002312
1983,processHandleBroadcastAction action:android.intent.action.TIME_TICK,Step_LSC,30002312
1191,onStandStepChanged 3761,Step_LSC,30002312
1397, getTodayTotalDetailSteps = 1514041980000##7202##549659##8661##16256##30730227,Step_SPUtils,30002312
815,calculateAltitudeWithCache totalAltitude=240,Step_ExtSDM,30002312
268, getTodayTotalDetailSteps = 1514038440000##7044##548365##8661##15686##27196480,Step_SPUtils,30002312
48,onExtend:1514038533000 1 0 4,Step_LSC,30002312
904,calculateCaloriesWithCache totalCalories=130673,Step_ExtSDM,30002312
623,onStandStepChanged 3700,Step_LSC,30002312
522,calculateAltitudeWithCache totalAltitude=240,Step_ExtSDM,30002312
952,processHandleBroadcastAction action:android.intent.action.TIME_TICK,Step_LSC,30002312
1521, getTodayTotalDetailSteps = 1514042520000##7214##549659##8661##16256##31243766,Step_SPUtils,30002312
102,calculateCaloriesWithCache totalCalories=127054,Step_ExtSDM,30002312
139,REPORT : 7025 5015 150475 240,Step_StandReportReceiver,30002312
1952,calculateAltitudeWithCache totalAltitude=0,Step_ExtSDM,30002312
1929,processHandleBroadcastAction action:android.intent.action.TIME_TICK,Step_LSC,30002312
1066,"timeStamp back,extendReportTimeStamp=1514039977000",Step_LSC,30002312
1140,setTodayTotalDetailSteps=1514040660000##7189##549659##8661##16256##29409806,Step_SPUtils,30002312
890,setTodayTotalDetailSteps=1514038740000##7189##549557##8661##16256##27452491,Step_SPUtils,30002312
