,logline,timestamp,Action,ID,cluster_id
58,calculateCaloriesWithCache totalCalories=126947,2017-12-23 22:15:33.658,Step_ExtSDM,30002312,1
59,calculateAltitudeWithCache totalAltitude=240,2017-12-23 22:15:33.662,Step_ExtSDM,30002312,1
60,REPORT : 7015 5008 150261 240,2017-12-23 22:15:33.663,Step_StandReportReceiver,30002312,4
61,onStandStepChanged 3588,2017-12-23 22:15:34.711,Step_LSC,30002312,0
62,onExtend:1514038535000 1 0 4,2017-12-23 22:15:34.723,Step_LSC,30002312,0
63,onReceive action: android.intent.action.SCREEN_OFF,2017-12-23 22:15:34.723,Step_StandReportReceiver,30002312,4
64,onStandStepChanged 3589,2017-12-23 22:15:34.848,Step_LSC,30002312,0
65,onExtend:1514038535000 1 0 4,2017-12-23 22:15:34.851,Step_LSC,30002312,0
66, getTodayTotalDetailSteps = 1514038440000##7015##548365##8661##13026##27177962,2017-12-23 22:15:35.110,Step_SPUtils,30002312,2
67,setTodayTotalDetailSteps=1514038440000##7017##548365##8661##13121##27179330,2017-12-23 22:15:35.120,Step_SPUtils,30002312,6
68,calculateCaloriesWithCache totalCalories=126989,2017-12-23 22:15:35.200,Step_ExtSDM,30002312,1
69,calculateAltitudeWithCache totalAltitude=240,2017-12-23 22:15:35.220,Step_ExtSDM,30002312,1
70,isScreenOn true,2017-12-23 22:15:35.230,Step_ScreenUtil,30002312,2
71,"screen status unknown,think screen on",2017-12-23 22:15:35.230,Step_StandReportReceiver,30002312,4
72,REPORT : 7017 5010 150304 240,2017-12-23 22:15:35.230,Step_StandReportReceiver,30002312,4
73,onReceive action: android.intent.action.SCREEN_ON,2017-12-23 22:15:35.960,Step_StandReportReceiver,30002312,4
74,processHandleBroadcastAction action:android.intent.action.SCREEN_ON,2017-12-23 22:15:35.970,Step_LSC,30002312,0
75,flush sensor data,2017-12-23 22:15:35.970,Step_StandStepCounter,30002312,4
76, getTodayTotalDetailSteps = 1514038440000##7017##548365##8661##13121##27179330,2017-12-23 22:15:35.980,Step_SPUtils,30002312,2
77,setTodayTotalDetailSteps=1514038440000##7017##548365##8661##13216##27179417,2017-12-23 22:15:35.980,Step_SPUtils,30002312,6
78,onStandStepChanged 3589,2017-12-23 22:15:35.980,Step_LSC,30002312,0
79,calculateCaloriesWithCache totalCalories=126989,2017-12-23 22:15:35.104,Step_ExtSDM,30002312,1
80,calculateAltitudeWithCache totalAltitude=240,2017-12-23 22:15:35.112,Step_ExtSDM,30002312,1
81,REPORT : 7017 5010 150304 240,2017-12-23 22:15:35.112,Step_StandReportReceiver,30002312,4
82,onStandStepChanged 3589,2017-12-23 22:15:35.198,Step_LSC,30002312,0
83,onExtend:1514038536000 0 0 4,2017-12-23 22:15:35.201,Step_LSC,30002312,0
84,onStandStepChanged 3590,2017-12-23 22:15:35.348,Step_LSC,30002312,0
85,onExtend:1514038536000 1 0 4,2017-12-23 22:15:35.352,Step_LSC,30002312,0
86, getTodayTotalDetailSteps = 1514038440000##7017##548365##8661##13216##27179417,2017-12-23 22:15:35.413,Step_SPUtils,30002312,2
87,setTodayTotalDetailSteps=1514038440000##7018##548365##8661##13311##27179732,2017-12-23 22:15:35.413,Step_SPUtils,30002312,6
88,calculateCaloriesWithCache totalCalories=127011,2017-12-23 22:15:35.418,Step_ExtSDM,30002312,1
89,calculateAltitudeWithCache totalAltitude=240,2017-12-23 22:15:35.421,Step_ExtSDM,30002312,1
90,REPORT : 7018 5010 150325 240,2017-12-23 22:15:35.421,Step_StandReportReceiver,30002312,4
91,onStandStepChanged 3591,2017-12-23 22:15:35.848,Step_LSC,30002312,0
92,onExtend:1514038536000 1 0 4,2017-12-23 22:15:35.852,Step_LSC,30002312,0
93, getTodayTotalDetailSteps = 1514038440000##7018##548365##8661##13311##27179732,2017-12-23 22:15:36.149,Step_SPUtils,30002312,2
94,setTodayTotalDetailSteps=1514038440000##7019##548365##8661##13406##27180468,2017-12-23 22:15:36.149,Step_SPUtils,30002312,6
95,calculateCaloriesWithCache totalCalories=127032,2017-12-23 22:15:36.154,Step_ExtSDM,30002312,1
96,calculateAltitudeWithCache totalAltitude=240,2017-12-23 22:15:36.157,Step_ExtSDM,30002312,1
97,REPORT : 7019 5011 150346 240,2017-12-23 22:15:36.157,Step_StandReportReceiver,30002312,4
98,onStandStepChanged 3592,2017-12-23 22:15:36.356,Step_LSC,30002312,0
99,onExtend:1514038537000 1 0 4,2017-12-23 22:15:36.365,Step_LSC,30002312,0
100, getTodayTotalDetailSteps = 1514038440000##7019##548365##8661##13406##27180468,2017-12-23 22:15:36.657,Step_SPUtils,30002312,2
101,setTodayTotalDetailSteps=1514038440000##7020##548365##8661##13501##27180976,2017-12-23 22:15:36.657,Step_SPUtils,30002312,6
102,calculateCaloriesWithCache totalCalories=127054,2017-12-23 22:15:36.668,Step_ExtSDM,30002312,1
103,calculateAltitudeWithCache totalAltitude=240,2017-12-23 22:15:36.672,Step_ExtSDM,30002312,1
104,REPORT : 7020 5012 150368 240,2017-12-23 22:15:36.673,Step_StandReportReceiver,30002312,4
105,onStandStepChanged 3593,2017-12-23 22:15:37.351,Step_LSC,30002312,0
106,onExtend:1514038538000 1 0 4,2017-12-23 22:15:37.361,Step_LSC,30002312,0
107, getTodayTotalDetailSteps = 1514038440000##7020##548365##8661##13501##27180976,2017-12-23 22:15:37.652,Step_SPUtils,30002312,2
108,setTodayTotalDetailSteps=1514038440000##7021##548365##8661##13596##27181971,2017-12-23 22:15:37.653,Step_SPUtils,30002312,6
109,calculateCaloriesWithCache totalCalories=127075,2017-12-23 22:15:37.666,Step_ExtSDM,30002312,1
110,calculateAltitudeWithCache totalAltitude=240,2017-12-23 22:15:37.670,Step_ExtSDM,30002312,1
111,REPORT : 7021 5012 150389 240,2017-12-23 22:15:37.671,Step_StandReportReceiver,30002312,4
112,onStandStepChanged 3594,2017-12-23 22:15:37.848,Step_LSC,30002312,0
113,onExtend:1514038538000 1 0 4,2017-12-23 22:15:37.858,Step_LSC,30002312,0
114, getTodayTotalDetailSteps = 1514038440000##7021##548365##8661##13596##27181971,2017-12-23 22:15:38.149,Step_SPUtils,30002312,2
115,setTodayTotalDetailSteps=1514038440000##7022##548365##8661##13691##27182468,2017-12-23 22:15:38.149,Step_SPUtils,30002312,6
116,calculateCaloriesWithCache totalCalories=127097,2017-12-23 22:15:38.159,Step_ExtSDM,30002312,1
117,calculateAltitudeWithCache totalAltitude=240,2017-12-23 22:15:38.164,Step_ExtSDM,30002312,1
118,REPORT : 7022 5013 150411 240,2017-12-23 22:15:38.164,Step_StandReportReceiver,30002312,4
119,onStandStepChanged 3595,2017-12-23 22:15:38.349,Step_LSC,30002312,0
120,onExtend:1514038539000 1 0 4,2017-12-23 22:15:38.361,Step_LSC,30002312,0
121, getTodayTotalDetailSteps = 1514038440000##7022##548365##8661##13691##27182468,2017-12-23 22:15:38.653,Step_SPUtils,30002312,2
122,setTodayTotalDetailSteps=1514038440000##7023##548365##8661##13786##27182973,2017-12-23 22:15:38.654,Step_SPUtils,30002312,6
123,calculateCaloriesWithCache totalCalories=127118,2017-12-23 22:15:38.665,Step_ExtSDM,30002312,1
124,calculateAltitudeWithCache totalAltitude=240,2017-12-23 22:15:38.669,Step_ExtSDM,30002312,1
125,REPORT : 7023 5014 150432 240,2017-12-23 22:15:38.669,Step_StandReportReceiver,30002312,4
126,onStandStepChanged 3596,2017-12-23 22:15:38.850,Step_LSC,30002312,0
127,onExtend:1514038539000 1 0 4,2017-12-23 22:15:38.868,Step_LSC,30002312,0
128, getTodayTotalDetailSteps = 1514038440000##7023##548365##8661##13786##27182973,2017-12-23 22:15:39.150,Step_SPUtils,30002312,2
129,setTodayTotalDetailSteps=1514038440000##7024##548365##8661##13881##27183469,2017-12-23 22:15:39.151,Step_SPUtils,30002312,6
130,calculateCaloriesWithCache totalCalories=127139,2017-12-23 22:15:39.155,Step_ExtSDM,30002312,1
131,calculateAltitudeWithCache totalAltitude=240,2017-12-23 22:15:39.156,Step_ExtSDM,30002312,1
132,REPORT : 7024 5015 150454 240,2017-12-23 22:15:39.156,Step_StandReportReceiver,30002312,4
133,onStandStepChanged 3597,2017-12-23 22:15:39.348,Step_LSC,30002312,0
134,onExtend:1514038540000 1 0 4,2017-12-23 22:15:39.354,Step_LSC,30002312,0
135, getTodayTotalDetailSteps = 1514038440000##7024##548365##8661##13881##27183469,2017-12-23 22:15:39.655,Step_SPUtils,30002312,2
136,setTodayTotalDetailSteps=1514038440000##7025##548365##8661##13976##27183974,2017-12-23 22:15:39.656,Step_SPUtils,30002312,6
137,calculateCaloriesWithCache totalCalories=127161,2017-12-23 22:15:39.665,Step_ExtSDM,30002312,1
138,calculateAltitudeWithCache totalAltitude=240,2017-12-23 22:15:39.669,Step_ExtSDM,30002312,1
139,REPORT : 7025 5015 150475 240,2017-12-23 22:15:39.669,Step_StandReportReceiver,30002312,4
140,onStandStepChanged 3598,2017-12-23 22:15:40.349,Step_LSC,30002312,0
141,onExtend:1514038541000 1 0 4,2017-12-23 22:15:40.365,Step_LSC,30002312,0
142, getTodayTotalDetailSteps = 1514038440000##7025##548365##8661##13976##27183974,2017-12-23 22:15:40.652,Step_SPUtils,30002312,2
143,setTodayTotalDetailSteps=1514038440000##7026##548365##8661##14071##27184972,2017-12-23 22:15:40.653,Step_SPUtils,30002312,6
144,calculateCaloriesWithCache totalCalories=127182,2017-12-23 22:15:40.668,Step_ExtSDM,30002312,1
145,calculateAltitudeWithCache totalAltitude=240,2017-12-23 22:15:40.675,Step_ExtSDM,30002312,1
146,REPORT : 7026 5016 150496 240,2017-12-23 22:15:40.676,Step_StandReportReceiver,30002312,4
147,onStandStepChanged 3599,2017-12-23 22:15:40.848,Step_LSC,30002312,0
148,onExtend:1514038541000 1 0 4,2017-12-23 22:15:40.852,Step_LSC,30002312,0
149, getTodayTotalDetailSteps = 1514038440000##7026##548365##8661##14071##27184972,2017-12-23 22:15:41.149,Step_SPUtils,30002312,2
150,setTodayTotalDetailSteps=1514038440000##7027##548365##8661##14166##27185467,2017-12-23 22:15:41.149,Step_SPUtils,30002312,6
151,calculateCaloriesWithCache totalCalories=127204,2017-12-23 22:15:41.152,Step_ExtSDM,30002312,1
152,calculateAltitudeWithCache totalAltitude=240,2017-12-23 22:15:41.153,Step_ExtSDM,30002312,1
153,REPORT : 7027 5017 150518 240,2017-12-23 22:15:41.153,Step_StandReportReceiver,30002312,4
154,onStandStepChanged 3600,2017-12-23 22:15:41.353,Step_LSC,30002312,0
155,onExtend:1514038542000 1 0 4,2017-12-23 22:15:41.358,Step_LSC,30002312,0
156, getTodayTotalDetailSteps = 1514038440000##7027##548365##8661##14166##27185467,2017-12-23 22:15:41.658,Step_SPUtils,30002312,2
157,setTodayTotalDetailSteps=1514038440000##7028##548365##8661##14261##27185977,2017-12-23 22:15:41.658,Step_SPUtils,30002312,6
158,calculateCaloriesWithCache totalCalories=127225,2017-12-23 22:15:41.667,Step_ExtSDM,30002312,1
159,calculateAltitudeWithCache totalAltitude=240,2017-12-23 22:15:41.670,Step_ExtSDM,30002312,1
160,REPORT : 7028 5017 150539 240,2017-12-23 22:15:41.672,Step_StandReportReceiver,30002312,4
161,onStandStepChanged 3601,2017-12-23 22:15:41.848,Step_LSC,30002312,0
162,onExtend:1514038542000 1 0 4,2017-12-23 22:15:41.856,Step_LSC,30002312,0
163, getTodayTotalDetailSteps = 1514038440000##7028##548365##8661##14261##27185977,2017-12-23 22:15:42.150,Step_SPUtils,30002312,2
164,setTodayTotalDetailSteps=1514038440000##7029##548365##8661##14356##27186469,2017-12-23 22:15:42.151,Step_SPUtils,30002312,6
165,calculateCaloriesWithCache totalCalories=127246,2017-12-23 22:15:42.160,Step_ExtSDM,30002312,1
166,calculateAltitudeWithCache totalAltitude=240,2017-12-23 22:15:42.164,Step_ExtSDM,30002312,1
167,REPORT : 7029 5018 150561 240,2017-12-23 22:15:42.165,Step_StandReportReceiver,30002312,4
168,onStandStepChanged 3602,2017-12-23 22:15:42.848,Step_LSC,30002312,0
169,onExtend:1514038543000 1 0 4,2017-12-23 22:15:42.852,Step_LSC,30002312,0
170, getTodayTotalDetailSteps = 1514038440000##7029##548365##8661##14356##27186469,2017-12-23 22:15:43.149,Step_SPUtils,30002312,2
171,setTodayTotalDetailSteps=1514038440000##7030##548365##8661##14451##27187468,2017-12-23 22:15:43.149,Step_SPUtils,30002312,6
172,calculateCaloriesWithCache totalCalories=127268,2017-12-23 22:15:43.160,Step_ExtSDM,30002312,1
173,calculateAltitudeWithCache totalAltitude=240,2017-12-23 22:15:43.163,Step_ExtSDM,30002312,1
174,REPORT : 7030 5019 150582 240,2017-12-23 22:15:43.164,Step_StandReportReceiver,30002312,4
175,onStandStepChanged 3603,2017-12-23 22:15:43.348,Step_LSC,30002312,0
176,onExtend:1514038544000 1 0 4,2017-12-23 22:15:43.354,Step_LSC,30002312,0
177, getTodayTotalDetailSteps = 1514038440000##7030##548365##8661##14451##27187468,2017-12-23 22:15:43.649,Step_SPUtils,30002312,2
178,setTodayTotalDetailSteps=1514038440000##7031##548365##8661##14546##27187968,2017-12-23 22:15:43.650,Step_SPUtils,30002312,6
179,calculateCaloriesWithCache totalCalories=127289,2017-12-23 22:15:43.677,Step_ExtSDM,30002312,1
180,calculateAltitudeWithCache totalAltitude=240,2017-12-23 22:15:43.679,Step_ExtSDM,30002312,1
181,REPORT : 7031 5020 150604 240,2017-12-23 22:15:43.679,Step_StandReportReceiver,30002312,4
182,onStandStepChanged 3604,2017-12-23 22:15:43.850,Step_LSC,30002312,0
183,onExtend:1514038544000 1 0 4,2017-12-23 22:15:43.861,Step_LSC,30002312,0
184, getTodayTotalDetailSteps = 1514038440000##7031##548365##8661##14546##27187968,2017-12-23 22:15:44.152,Step_SPUtils,30002312,2
185,setTodayTotalDetailSteps=1514038440000##7032##548365##8661##14641##27188471,2017-12-23 22:15:44.152,Step_SPUtils,30002312,6
186,calculateCaloriesWithCache totalCalories=127311,2017-12-23 22:15:44.163,Step_ExtSDM,30002312,1
187,calculateAltitudeWithCache totalAltitude=240,2017-12-23 22:15:44.166,Step_ExtSDM,30002312,1
188,REPORT : 7032 5020 150625 240,2017-12-23 22:15:44.170,Step_StandReportReceiver,30002312,4
189,onStandStepChanged 3605,2017-12-23 22:15:44.849,Step_LSC,30002312,0
190,onExtend:1514038545000 1 0 4,2017-12-23 22:15:44.863,Step_LSC,30002312,0
191, getTodayTotalDetailSteps = 1514038440000##7032##548365##8661##14641##27188471,2017-12-23 22:15:45.149,Step_SPUtils,30002312,2
192,setTodayTotalDetailSteps=1514038440000##7033##548365##8661##14736##27189469,2017-12-23 22:15:45.150,Step_SPUtils,30002312,6
193,calculateCaloriesWithCache totalCalories=127332,2017-12-23 22:15:45.158,Step_ExtSDM,30002312,1
194,calculateAltitudeWithCache totalAltitude=240,2017-12-23 22:15:45.161,Step_ExtSDM,30002312,1
195,REPORT : 7033 5021 150646 240,2017-12-23 22:15:45.164,Step_StandReportReceiver,30002312,4
196,onStandStepChanged 3606,2017-12-23 22:15:45.348,Step_LSC,30002312,0
197,onExtend:1514038546000 1 0 4,2017-12-23 22:15:45.361,Step_LSC,30002312,0
198, getTodayTotalDetailSteps = 1514038440000##7033##548365##8661##14736##27189469,2017-12-23 22:15:45.649,Step_SPUtils,30002312,2
199,setTodayTotalDetailSteps=1514038440000##7034##548365##8661##14831##27189969,2017-12-23 22:15:45.650,Step_SPUtils,30002312,6
200,calculateCaloriesWithCache totalCalories=127354,2017-12-23 22:15:45.656,Step_ExtSDM,30002312,1
201,calculateAltitudeWithCache totalAltitude=240,2017-12-23 22:15:45.658,Step_ExtSDM,30002312,1
202,REPORT : 7034 5022 150668 240,2017-12-23 22:15:45.659,Step_StandReportReceiver,30002312,4
203,onStandStepChanged 3607,2017-12-23 22:15:45.848,Step_LSC,30002312,0
204,onExtend:1514038546000 1 0 4,2017-12-23 22:15:45.851,Step_LSC,30002312,0
205, getTodayTotalDetailSteps = 1514038440000##7034##548365##8661##14831##27189969,2017-12-23 22:15:46.149,Step_SPUtils,30002312,2
206,setTodayTotalDetailSteps=1514038440000##7035##548365##8661##14926##27190469,2017-12-23 22:15:46.150,Step_SPUtils,30002312,6
207,calculateCaloriesWithCache totalCalories=127375,2017-12-23 22:15:46.157,Step_ExtSDM,30002312,1
208,calculateAltitudeWithCache totalAltitude=240,2017-12-23 22:15:46.160,Step_ExtSDM,30002312,1
209,REPORT : 7035 5022 150689 240,2017-12-23 22:15:46.164,Step_StandReportReceiver,30002312,4
210,onStandStepChanged 3608,2017-12-23 22:15:46.349,Step_LSC,30002312,0
211,onExtend:1514038547000 1 0 4,2017-12-23 22:15:46.355,Step_LSC,30002312,0
212, getTodayTotalDetailSteps = 1514038440000##7035##548365##8661##14926##27190469,2017-12-23 22:15:46.650,Step_SPUtils,30002312,2
213,setTodayTotalDetailSteps=1514038440000##7036##548365##8661##15021##27190970,2017-12-23 22:15:46.651,Step_SPUtils,30002312,6
214,calculateCaloriesWithCache totalCalories=127396,2017-12-23 22:15:46.674,Step_ExtSDM,30002312,1
215,calculateAltitudeWithCache totalAltitude=240,2017-12-23 22:15:46.679,Step_ExtSDM,30002312,1
216,REPORT : 7036 5023 150711 240,2017-12-23 22:15:46.684,Step_StandReportReceiver,30002312,4
217,onStandStepChanged 3609,2017-12-23 22:15:47.349,Step_LSC,30002312,0
218,onExtend:1514038548000 1 0 4,2017-12-23 22:15:47.370,Step_LSC,30002312,0
219, getTodayTotalDetailSteps = 1514038440000##7036##548365##8661##15021##27190970,2017-12-23 22:15:47.650,Step_SPUtils,30002312,2
220,setTodayTotalDetailSteps=1514038440000##7037##548365##8661##15116##27191969,2017-12-23 22:15:47.650,Step_SPUtils,30002312,6
221,calculateCaloriesWithCache totalCalories=127418,2017-12-23 22:15:47.658,Step_ExtSDM,30002312,1
222,calculateAltitudeWithCache totalAltitude=240,2017-12-23 22:15:47.661,Step_ExtSDM,30002312,1
223,REPORT : 7037 5024 150732 240,2017-12-23 22:15:47.661,Step_StandReportReceiver,30002312,4
224,onStandStepChanged 3610,2017-12-23 22:15:47.857,Step_LSC,30002312,0
225,onExtend:1514038548000 1 0 4,2017-12-23 22:15:47.860,Step_LSC,30002312,0
226, getTodayTotalDetailSteps = 1514038440000##7037##548365##8661##15116##27191969,2017-12-23 22:15:48.158,Step_SPUtils,30002312,2
227,setTodayTotalDetailSteps=1514038440000##7038##548365##8661##15211##27192478,2017-12-23 22:15:48.159,Step_SPUtils,30002312,6
228,calculateCaloriesWithCache totalCalories=127439,2017-12-23 22:15:48.167,Step_ExtSDM,30002312,1
229,calculateAltitudeWithCache totalAltitude=240,2017-12-23 22:15:48.169,Step_ExtSDM,30002312,1
230,REPORT : 7038 5025 150753 240,2017-12-23 22:15:48.174,Step_StandReportReceiver,30002312,4
231,onStandStepChanged 3611,2017-12-23 22:15:48.350,Step_LSC,30002312,0
232,onExtend:1514038549000 1 0 4,2017-12-23 22:15:48.368,Step_LSC,30002312,0
233, getTodayTotalDetailSteps = 1514038440000##7038##548365##8661##15211##27192478,2017-12-23 22:15:48.652,Step_SPUtils,30002312,2
234,setTodayTotalDetailSteps=1514038440000##7039##548365##8661##15306##27192971,2017-12-23 22:15:48.653,Step_SPUtils,30002312,6
235,calculateCaloriesWithCache totalCalories=127461,2017-12-23 22:15:48.668,Step_ExtSDM,30002312,1
236,calculateAltitudeWithCache totalAltitude=240,2017-12-23 22:15:48.676,Step_ExtSDM,30002312,1
237,REPORT : 7039 5025 150775 240,2017-12-23 22:15:48.679,Step_StandReportReceiver,30002312,4
238,onStandStepChanged 3612,2017-12-23 22:15:49.350,Step_LSC,30002312,0
239,onExtend:1514038550000 1 0 4,2017-12-23 22:15:49.366,Step_LSC,30002312,0
240, getTodayTotalDetailSteps = 1514038440000##7039##548365##8661##15306##27192971,2017-12-23 22:15:49.652,Step_SPUtils,30002312,2
241,setTodayTotalDetailSteps=1514038440000##7040##548365##8661##15401##27193971,2017-12-23 22:15:49.653,Step_SPUtils,30002312,6
242,calculateCaloriesWithCache totalCalories=127482,2017-12-23 22:15:49.668,Step_ExtSDM,30002312,1
243,calculateAltitudeWithCache totalAltitude=240,2017-12-23 22:15:49.675,Step_ExtSDM,30002312,1
244,REPORT : 7040 5026 150796 240,2017-12-23 22:15:49.676,Step_StandReportReceiver,30002312,4
245,onStandStepChanged 3613,2017-12-23 22:15:49.858,Step_LSC,30002312,0
246,onExtend:1514038550000 1 0 4,2017-12-23 22:15:49.864,Step_LSC,30002312,0
247, getTodayTotalDetailSteps = 1514038440000##7040##548365##8661##15401##27193971,2017-12-23 22:15:50.160,Step_SPUtils,30002312,2
248,setTodayTotalDetailSteps=1514038440000##7041##548365##8661##15496##27194480,2017-12-23 22:15:50.161,Step_SPUtils,30002312,6
249,calculateCaloriesWithCache totalCalories=127504,2017-12-23 22:15:50.176,Step_ExtSDM,30002312,1
250,calculateAltitudeWithCache totalAltitude=240,2017-12-23 22:15:50.181,Step_ExtSDM,30002312,1
251,REPORT : 7041 5027 150818 240,2017-12-23 22:15:50.182,Step_StandReportReceiver,30002312,4
252,onStandStepChanged 3614,2017-12-23 22:15:50.850,Step_LSC,30002312,0
253,onExtend:1514038551000 1 0 4,2017-12-23 22:15:50.864,Step_LSC,30002312,0
